Age,Subj,Time [ms],l_soa_GFP,25_GFP,RT_GFP
Young,1,-298,0.74367553,0.467528969,0.459160179
Young,1,-296,0.756017625,0.469870687,0.445711285
Young,1,-294,0.736571491,0.486844808,0.432953298
Young,1,-292,0.692455292,0.519610822,0.424915642
Young,1,-290,0.643057466,0.563584268,0.430551082
Young,1,-288,0.610912383,0.609860837,0.451219946
Young,1,-286,0.60804826,0.642200351,0.48385787
Young,1,-284,0.633344233,0.647848248,0.516190171
Young,1,-282,0.670369387,0.621411562,0.532816947
Young,1,-280,0.702219367,0.567050636,0.524036646
Young,1,-278,0.719955623,0.500917733,0.484134585
Young,1,-276,0.715082824,0.446886867,0.419616997
Young,1,-274,0.690059483,0.426072359,0.347374022
Young,1,-272,0.650473356,0.43792221,0.296706051
Young,1,-270,0.602977693,0.460574359,0.293122381
Young,1,-268,0.557299137,0.473552495,0.325958401
Young,1,-266,0.525310755,0.468359977,0.36293906
Young,1,-264,0.521639109,0.453786701,0.385195702
Young,1,-262,0.537708521,0.446710289,0.391799808
Young,1,-260,0.563903987,0.462176859,0.390858948
Young,1,-258,0.584497035,0.497531861,0.391003102
Young,1,-257,0.587398946,0.538128555,0.39345938
Young,1,-255,0.571736872,0.569740415,0.386066467
Young,1,-253,0.548383296,0.582342446,0.358092725
Young,1,-251,0.528753221,0.570419252,0.310709655
Young,1,-249,0.522468865,0.538545907,0.263451278
Young,1,-247,0.532328963,0.498149127,0.254976779
Young,1,-245,0.547531724,0.462388933,0.300424248
Young,1,-243,0.557512105,0.446777999,0.365475625
Young,1,-241,0.563849747,0.460934311,0.413327307
Young,1,-239,0.572876751,0.497006923,0.427170634
Young,1,-237,0.591247618,0.536502898,0.409195393
Young,1,-235,0.616422474,0.560671687,0.382757515
Young,1,-233,0.635654211,0.554966092,0.381394863
Young,1,-231,0.63153708,0.515924394,0.419975758
Young,1,-229,0.595859349,0.451435208,0.477051526
Young,1,-227,0.528458953,0.384388953,0.522336543
Young,1,-225,0.440048397,0.349206537,0.535297632
Young,1,-223,0.366674155,0.365699083,0.513039231
Young,1,-221,0.34487775,0.412774056,0.467692167
Young,1,-219,0.37981075,0.455408335,0.421965122
Young,1,-217,0.431613624,0.470941752,0.396297961
Young,1,-216,0.467455506,0.4519234,0.390319973
Young,1,-214,0.47497198,0.406319201,0.38315323
Young,1,-212,0.459722489,0.35457781,0.356906474
Young,1,-210,0.437190354,0.322077781,0.311657786
Young,1,-208,0.426638782,0.320799768,0.267285705
Young,1,-206,0.437405795,0.338268489,0.260657132
Young,1,-204,0.461108506,0.353197545,0.303408951
Young,1,-202,0.484195977,0.353797555,0.364677191
Young,1,-200,0.498306811,0.34320271,0.41494447
Young,1,-198,0.500301123,0.335035503,0.441073567
Young,1,-196,0.494369179,0.342354417,0.448091269
Young,1,-194,0.482048869,0.366034299,0.447204858
Young,1,-192,0.464305758,0.394284815,0.450881958
Young,1,-190,0.441225618,0.413443863,0.456870288
Young,1,-188,0.417003065,0.415892243,0.454887152
Young,1,-186,0.406815231,0.403695941,0.437138021
Young,1,-184,0.424412966,0.388812274,0.403818637
Young,1,-182,0.466222793,0.384691834,0.371111482
Young,1,-180,0.515235305,0.398958057,0.358531982
Young,1,-178,0.549011648,0.425321072,0.375911564
Young,1,-176,0.557049513,0.45056206,0.409693569
Young,1,-175,0.539830744,0.459394038,0.437599272
Young,1,-173,0.517922878,0.44643411,0.44594568
Young,1,-171,0.525060534,0.41390577,0.430393994
Young,1,-169,0.575008154,0.374656588,0.396030515
Young,1,-167,0.656526744,0.354163855,0.354656816
Young,1,-165,0.736966848,0.374686897,0.319779843
Young,1,-163,0.788043857,0.436701834,0.303207606
Young,1,-161,0.795121789,0.514462292,0.309593588
Young,1,-159,0.757816374,0.587426722,0.337065279
Young,1,-157,0.692258596,0.641038239,0.375296444
Young,1,-155,0.627767682,0.671387315,0.413923264
Young,1,-153,0.596700191,0.681673169,0.440627545
Young,1,-151,0.610260844,0.677706122,0.450692505
Young,1,-149,0.650544465,0.660687447,0.444482505
Young,1,-147,0.683567286,0.630846441,0.432337224
Young,1,-145,0.687046885,0.588305235,0.432436049
Young,1,-143,0.651110888,0.530673742,0.458678573
Young,1,-141,0.580699384,0.462603569,0.502551258
Young,1,-139,0.485930532,0.398083627,0.543083549
Young,1,-137,0.384901822,0.363147855,0.561654925
Young,1,-135,0.307122976,0.374681801,0.549261391
Young,1,-133,0.289588302,0.424441427,0.508926809
Young,1,-132,0.336975843,0.484185249,0.45456031
Young,1,-130,0.414429009,0.534033477,0.408081889
Young,1,-128,0.490303308,0.565495372,0.387946397
Young,1,-126,0.550528824,0.581368804,0.393556267
Young,1,-124,0.588041246,0.589317262,0.408699721
Young,1,-122,0.600302756,0.596193194,0.418881983
Young,1,-120,0.592289925,0.603289127,0.417680949
Young,1,-118,0.567605317,0.607190132,0.411737472
Young,1,-116,0.539050639,0.59992367,0.406638533
Young,1,-114,0.516493082,0.577457011,0.408044159
Young,1,-112,0.510368049,0.542408109,0.414368808
Young,1,-110,0.522795439,0.501316726,0.423641026
Young,1,-108,0.549015284,0.465898693,0.438614577
Young,1,-106,0.57137382,0.445507497,0.463193148
Young,1,-104,0.577081621,0.439082086,0.49297142
Young,1,-102,0.55982542,0.439663529,0.515780926
Young,1,-100,0.517460465,0.4377096,0.518843055
Young,1,-98,0.465815693,0.429343373,0.493992031
Young,1,-96,0.433162868,0.416971207,0.440336794
Young,1,-94,0.447294414,0.406186044,0.371621579
Young,1,-92,0.501577139,0.400668353,0.31051892
Young,1,-91,0.564338326,0.398491323,0.284368038
Young,1,-89,0.602342546,0.393672913,0.29629612
Young,1,-87,0.598674178,0.382223308,0.324509203
Young,1,-85,0.55289489,0.366422504,0.348461241
Young,1,-83,0.483418405,0.355899394,0.365433246
Young,1,-81,0.426819593,0.362609476,0.380974412
Young,1,-79,0.418735892,0.389951974,0.400835931
Young,1,-77,0.45536676,0.426582307,0.420082092
Young,1,-75,0.496089995,0.458467126,0.42573005
Young,1,-73,0.50892508,0.474934459,0.413374126
Young,1,-71,0.480885506,0.469703466,0.387659669
Young,1,-69,0.42425704,0.450017065,0.369749218
Young,1,-67,0.375083745,0.423950464,0.383398533
Young,1,-65,0.381602973,0.407118022,0.428282946
Young,1,-63,0.448160112,0.408518374,0.47790274
Young,1,-61,0.533393621,0.424959868,0.503435135
Young,1,-59,0.601060271,0.447302014,0.492078871
Young,1,-57,0.634010017,0.465670884,0.452038288
Young,1,-55,0.632283747,0.476202369,0.411551028
Young,1,-53,0.609163702,0.483153015,0.415846348
Young,1,-51,0.58064276,0.497254312,0.475300312
Young,1,-49,0.563967466,0.52724421,0.553190529
Young,1,-48,0.563001335,0.573322237,0.609591365
Young,1,-46,0.569106936,0.628620863,0.623784244
Young,1,-44,0.569893003,0.683433056,0.597604811
Young,1,-42,0.556199312,0.728762448,0.555590928
Young,1,-40,0.525883496,0.758095622,0.539388716
Young,1,-38,0.485680759,0.77206856,0.579241574
Young,1,-36,0.448634863,0.774599314,0.659549713
Young,1,-34,0.425884098,0.76887399,0.738876581
Young,1,-32,0.424139023,0.759765089,0.782959163
Young,1,-30,0.436273664,0.749784827,0.77626729
Young,1,-28,0.448492914,0.736911893,0.720714569
Young,1,-26,0.451572865,0.7185058,0.63553828
Young,1,-24,0.448310435,0.697644889,0.552092075
Young,1,-22,0.457182825,0.67936337,0.506815016
Young,1,-20,0.499245316,0.671458244,0.514105678
Young,1,-18,0.573566377,0.675862014,0.554205358
Young,1,-16,0.658632815,0.68481499,0.595955074
Young,1,-14,0.725047588,0.688206077,0.62038058
Young,1,-12,0.751296699,0.675580323,0.624817491
Young,1,-10,0.728916705,0.647483528,0.617767274
Young,1,-8,0.66633004,0.615454495,0.60453558
Young,1,-7,0.588878453,0.59956944,0.591353595
Young,1,-5,0.536983073,0.61402142,0.57617557
Young,1,-3,0.532864869,0.653789699,0.55568707
Young,1,-1,0.562174678,0.69833672,0.524179876
Young,1,1,0.584345937,0.725505114,0.487900555
Young,1,3,0.569877326,0.726406634,0.450666547
Young,1,5,0.514109731,0.707257986,0.424224764
Young,1,7,0.440133542,0.690130293,0.415614665
Young,1,9,0.394503355,0.698904097,0.423739582
Young,1,11,0.416846067,0.744376183,0.440805197
Young,1,13,0.484876901,0.812149882,0.457694381
Young,1,15,0.548121631,0.880114436,0.468057573
Young,1,17,0.576597929,0.927104592,0.470825255
Young,1,19,0.56675899,0.945642769,0.471220165
Young,1,21,0.533677399,0.942101896,0.473841518
Young,1,23,0.508278489,0.925706208,0.483758777
Young,1,25,0.516404986,0.910636961,0.504064143
Young,1,27,0.558629215,0.901288033,0.533667266
Young,1,29,0.614983499,0.89596504,0.570290208
Young,1,31,0.662006855,0.888759851,0.607761323
Young,1,33,0.687132716,0.875268757,0.639272094
Young,1,34,0.685720921,0.852356791,0.657534361
Young,1,36,0.661464989,0.8255198,0.656492114
Young,1,38,0.623609662,0.799095452,0.634463489
Young,1,40,0.582323313,0.781129539,0.595256269
Young,1,42,0.545835137,0.772579074,0.550496876
Young,1,44,0.526166379,0.769996166,0.520410001
Young,1,46,0.533047795,0.766132057,0.525009453
Young,1,48,0.552476048,0.753810644,0.567143857
Young,1,50,0.571590781,0.728425503,0.630397022
Young,1,52,0.574447513,0.696103811,0.69187212
Young,1,54,0.559973121,0.6678316,0.733855844
Young,1,56,0.537180781,0.661474824,0.748791218
Young,1,58,0.523018181,0.682370007,0.735971272
Young,1,60,0.526195884,0.726067662,0.704950511
Young,1,62,0.532424331,0.773202002,0.665854454
Young,1,64,0.520335078,0.80496943,0.633518815
Young,1,66,0.480386764,0.81354636,0.611359835
Young,1,68,0.427238494,0.801916897,0.596355498
Young,1,70,0.410491765,0.782649338,0.577798545
Young,1,72,0.475949496,0.767679572,0.550767422
Young,1,74,0.596554518,0.762457848,0.525730491
Young,1,76,0.718534589,0.760042787,0.530423164
Young,1,77,0.801189125,0.753192663,0.589460552
Young,1,79,0.831977606,0.737102568,0.702510417
Young,1,81,0.821767926,0.719445765,0.843768358
Young,1,83,0.802931726,0.713676691,0.982218623
Young,1,85,0.811345577,0.731071413,1.092945457
Young,1,87,0.856119812,0.771586776,1.160581112
Young,1,89,0.908141613,0.83456552,1.182952881
