,ID,Group,acc,GFP,N1,N2,P3b,Q_N1,Q_N2,Q_P3b,CD_N1,CD_N2,CD_P3b,PCE_N1,PCE_N2,PCE_P3b
50,S102-RCh-o01,2,1.03164116,-0.138084252,-0.273430053,0.929818331,0.736599844,-2.633239135,-1.044359406,-1.37002461,-0.49990916,0.185077993,0.659788918,0.515700244,0.305175322,1.054208252
51,S106-LJ-o02,2,-1.036667434,0.186101763,0.007466376,1.06289295,-1.130333222,0.171205352,0.280480722,-0.283815016,0.206468924,1.532908804,1.56477057,0.397514442,0.523766833,0.771677598
52,S110-MK-o03,2,-1.205759989,-0.95328959,-1.191610751,0.335493785,-0.27310194,0.597705988,0.850431245,0.292319796,-0.572114945,-0.180854923,-0.605009528,-1.371882801,-1.293947995,-0.66101584
53,S111-ZK-o04,2,0.671060344,0.345264144,0.437869802,2.099852022,0.721208481,-1.05070596,-1.751300564,-1.057698609,0.355322077,1.165749843,0.871865812,-0.248748509,0.568009488,0.850099471
54,S112-NK-o05,2,0.566830531,-0.291919456,-0.821191724,0.909355293,0.108913718,-0.302808877,0.540331328,0.150240797,-1.496118126,0.966836829,-0.390569479,-0.760077216,-0.487455935,-0.663689024
55,S113-NU-o06,2,-1.000871964,1.332348461,1.008125528,-0.854978675,0.444987164,-0.598513666,-0.538393398,0.214813319,0.731285375,-0.447838878,-0.480601362,-0.006952858,-0.815062573,-1.370259131
56,S114-ZB-o07,2,-1.718297593,0.173659426,-0.212867732,0.037409294,0.353913522,-0.962942052,-1.426301215,-0.615711436,-0.443704835,-0.982568297,-0.741275165,-1.631246609,-1.311602008,-1.032570653
57,S117-RL-o08,2,1.108116631,1.699834212,1.805362677,-0.259297914,0.656260075,-0.240921025,-0.730446602,-2.997941375,1.002937764,-0.56674435,0.641075651,-1.694153593,0.020212293,0.742155306
58,S121-ON-o09,2,-0.437026625,0.736645653,1.406196354,3.473552808,-0.176691287,-0.830207124,-0.314972742,0.564398761,1.671577168,1.59625101,0.586576269,0.162568106,-0.28817037,-0.866915378
59,S124-EA-o10,2,1.580893989,-1.254644231,-1.091116764,0.666116281,-0.961368485,-0.032699767,0.00733965,-0.29684555,-0.971716634,0.858703027,0.363487949,-1.382542465,-0.468340599,-0.004925874
60,S125-LSh-o11,2,1.083092419,-0.135997146,-1.423848688,1.273954567,-0.249029857,-0.240559647,0.893440554,0.172395008,0.861667442,1.561877165,-0.836908742,0.925917297,0.060559483,-0.516154551
61,S127-MS-o12,2,-0.008636314,-0.021308652,0.312801866,0.190205828,-0.986993278,0.001198043,0.200008575,0.124967337,0.950410175,0.909545782,0.874434688,0.129536772,0.320697176,-0.057869772
62,S132-BM-o13,2,-1.710871073,1.334205049,0.86838981,1.686080442,-1.289152224,-0.566827117,0.79469764,0.295119691,1.599729695,1.098041424,0.812155782,0.416063274,-0.258950166,-0.138811791
63,S133-OT-o14,2,1.289844112,0.955029069,1.001154281,0.878415231,-0.093359657,0.972379051,0.226481742,0.00945833,0.798788287,1.194119193,1.576332174,-0.854888351,-0.34347391,0.255341238
64,S134-LJ-o15,2,-1.505943081,0.16648783,0.558135026,-0.543636289,-0.309240971,-0.258363262,-1.436407862,-1.193532655,-0.094113492,-0.189475174,-0.614387445,-1.578134332,-0.3878226,0.471712632
65,S135-MG-o16,2,0.38619717,0.428804266,0.315110585,0.24048523240350872,-1.240117317,-0.317728272,-0.661001356,2.52292246,0.29709449,0.65703734,0.9302429,0.017889878,-0.28976815,-1.149967942
66,S136-TM-o17,2,-1.510412323,-0.025191797,0.602501363,-0.625866569,-1.078763497,-1.066716538,-0.106447416,-2.628799352,-0.401868983,-0.807869988,0.017971806,-0.777845706,-0.605916726,0.273275043
67,S137-NL-o18,2,0.069170901,0.310263008,-0.433137566,0.589522126,0.673715375,-2.220265091,-0.233003573,0.155081843,0.009465669,-0.069341308,-0.022198896,-0.446141276,-0.793242466,-1.289325421
68,S138-IM-o19,2,-1.094206596,-1.433513719,-1.172883592,-1.28209892,0.4432431,0.049944867236363634,-1.165750843,-0.038929575,-1.648470774,-1.069627042,-0.454672819,0.717206512,-1.117945547,-1.880154828
69,S139-BG-o20,2,-1.646012127,0.724642529,-0.337755103,-1.026943964,0.839294007,0.049944867236363634,-0.956894923,-0.931270284,-0.612618273,-0.348665726,0.843898204,-0.429149628,0.269179969,0.251353719
70,S150-LZ-o21,2,0.693137911,-0.151306514,-0.057527718,0.778664705,0.273381367,0.37549174,-0.32731384,0.388581979,0.037589303,0.401876024,-0.807385415,0.51107938,0.657258857,-0.101777045
71,S151-TM-o22,2,-0.070779037,-0.74642316,-0.284487896,-0.430060768,-0.312570474,0.049944867236363634,2.02874013,1.14574072,-1.132546277,-0.82109654,-0.500208244,-0.060571852,-0.887557354,-0.7653484
72,S152-GM-o23,2,-0.300535732,1.340700759,1.653478864,0.389241644,-1.203832962,-0.123759438,0.148726057,-0.355604963,2.393009141,0.491457141,0.720818204,0.238039623,-0.115532591,0.415912213
73,S153-ShK-o24,2,0.686263888,-0.445391424,-0.168204426,1.116668315,0.675284625,0.130689236,-0.572169527,-1.503400002,0.987904224,0.886540507,0.173190355,0.558120673,-0.346280252,-0.504655498
74,S154-LT-o25,2,-0.491900959,-0.362168991,-0.007466376,-0.760122848,-1.182668292,0.279831107,2.492731668,0.882594444,-0.015127491,-0.723365466,0.10955854,-1.301960407,-0.070128272,-0.69869027
