ID,Group,acc,GFP,N1,N2,P3b,Q_N1,Q_N2,Q_P3b,CD_N1,CD_N2,CD_P3b,PCE_N1,PCE_N2,PCE_P3b
S100-MK-y01,1,0.355440202,-0.745367713,0.040047719,-0.274428462,-0.829478378,-0.133047459,0.224011359,-0.397178415,-0.859498268,-0.800849843,-1.122969799,-1.64755438,-0.624762521,-0.692095953
S101-TK-y02,1,-0.490838006,1.112099067,-0.050315041,0.260630797,1.662387248,-1.850774516,-2.609034514,1.4642379,-0.291009316,-0.133219922,0.891185723,1.648851389,1.78686429,1.665786047
S103-RA-y03,1,1.045836597,0.670094515,-1.189245796,1.335455319,0.808925509,,2.423238125,0.188591841,0.943175233,0.718765692,0.742928273,1.579197109,2.159261122,0.978389474
S104-TK-y04,1,-0.40294882,0.203217316,1.322059835,-1.434083264,1.116441794,-0.421138077,-0.871926994,-1.214511159,0.640947683,-0.343819647,1.527291138,0.355337518,0.21066554,0.555562141
S105-NK-y05,1,0.574572678,2.463283199,-3.162021961,2.583332881,0.570412669,,,1.349333549,1.38615563,0.879695269,0.469393621,1.41108957,1.029339522,0.578407847
S107-EB-y06,1,0.259157505,0.004543039,0.281377084,0.457470162,-0.454890319,-0.417520946,-1.352198891,-0.757020006,0.833282543,0.884439879,-0.003709948,-0.047461679,0.107247582,-0.239862449
S108-MM-y07,1,1.184850876,2.308655509,-0.720321433,1.613431182,2.210073677,,2.752420867,-0.587445901,0.710516486,1.094387497,2.008993311,0.346225683,0.511968049,0.76127953
S109-TK-y08,1,-1.116637283,-0.028044521,1.097489523,-1.339654139,0.160608736,0.334417238,0.029459878,-1.094105432,0.464502494,0.691018041,0.260818836,-0.292676507,-0.120635342,0.204276456
S115-EA-y09,1,0.673153831,0.825651991,1.030315688,1.412963777,0.330201107,-1.160409228,-3.261056042,-1.504960597,0.589221824,1.047376892,-0.060795061,0.781554872,1.009121464,0.867144585
S116-EB-y10,1,1.468195559,0.011295255,0.546116826,0.280012052,-1.1156632,-0.447746901,-0.173786148,-0.311665905,0.296282093,0.068491032,-1.176135563,1.099899257,0.697384428,0.75782145
S118-TK-y11,1,0.887770236,2.656695326,-2.110941799,1.919345271,1.211192926,1.781393033,1.201758746,0.665523052,0.818561216,0.444008008,-0.520363643,1.972155351,1.360019726,1.380302726
S119-EKh-y12,1,1.516330523,1.245113632,0.268019855,0.005863028,0.99429921,0.829253364,-1.257900044,-1.717320608,0.300463671,0.415344476,-0.037068681,-1.161761489,1.28220491,1.182128434
S120-GK-y13,1,0.741567033,-0.75283309,-0.66717174,0.020610566,-1.089971268,0.151305909,-0.008292848,-0.520196707,-0.717706065,-0.167341433,-1.540162877,0.206641121,0.506806291,0.556474345
S122-KK-y14,1,0.675846169,0.407766645,-0.68182826,1.280585084,8.16693E-05,-0.298641485,-1.407844452,-0.626695113,0.863276551,0.664629617,0.026256914,0.456762704,-0.67315852,-0.101586752
S123-NKh-y15,1,0.632602593,0.044129291,1.277055876,-1.387678477,-0.191818997,-2.278780568,-2.186205752,-1.894615192,-0.060023089,-1.066649098,-1.015777298,-0.771519053,0.186455095,-0.122236955
S126-DKh-y16,1,-1.380518011,0.220669025,-0.250564588,-2.650648873,0.556889827,-3.007946014,-1.826653849,,-1.00729608,0.104676263,0.179963004,1.234467239,0.644266307,2.321061248
