,ID,Group,acc,GFP,N1,N2,P3b,Q_N1,Q_N2,Q_P3b,CD_N1,CD_N2,CD_P3b,PCE_N1,PCE_N2,PCE_P3b
50,S102-RCh-o01,2,-0.439127407,-0.166313249,0.54659741,-0.524024365,0.137334834,-0.670206917,-0.186047354,-0.190866497,-0.020842208,-1.216283159,0.7449619,-0.309925519,-0.367746453,0.442232729
51,S106-LJ-o02,2,-1.17585726,-1.507088992,0.056577815,-0.839634418,-0.702065162,-0.019977357,-0.505922341,-0.727233796,0.020576221,-1.283712336,-1.212712474,0.495561558,0.764190588,0.694661163
52,S110-MK-o03,2,0.057638745,-0.536328072,-1.420475448,-0.41313893,-0.254493187,-0.62705661,-0.23995021,-0.125625055,-0.448316904,-0.805440473,0.059583149,-1.00303614,-1.529163521,-0.015378588
53,S111-ZK-o04,2,0.733574098,0.650946315,-0.30852214,0.20728211,0.598001175,-0.552805653,-1.076143136,-0.074754353,-0.383982941,0.164333428,1.746116552,-0.690106777,0.42883758,0.581644538
54,S112-NK-o05,2,0.311762408,-0.230165821,-0.952039142,1.812161426,0.01174497,-0.293887704,0.132208803,-0.20389074,-0.692273594,1.800164595,1.158273426,-1.297964036,-0.312429513,-0.618671267
55,S113-NU-o06,2,-0.371190717,0.499798091,1.701910349,-2.462708927,0.864308259,-0.579796545,-0.549744577,-0.764235053,1.039142691,0.355428704,0.798597244,-0.149738423,-0.853620157,-0.857526371
56,S114-ZB-o07,2,-1.865124128,-0.44411995,0.406202124,-0.986067727,-0.378634604,-0.133922764,-0.492855227,0.047504906,-0.411952778,-1.093477988,-0.521540403,-1.431729994,-1.889618005,-1.193324035
57,S117-RL-o08,2,-0.399075394,-0.914138655,1.552749752,-0.378934963,0.619269883,0.355474715,-1.033718915,-1.01529097,0.170387497,-1.059283182,0.575051141,-1.026939477,-0.078582047,0.47383917
58,S121-ON-o09,2,0.399234787,1.537392458,2.67515859,2.479060791,-0.438213664,2.494076294,1.812021836,0.515097676,1.807258576,1.867643773,-0.620374874,0.005164071,-0.096220813,-1.248984755
59,S124-EA-o10,2,0.408850422,-0.758841234,-0.314693524,0.999802264,-0.868466935,-0.137054707,-0.532840544,0.194264174,0.575165628,1.465917586,0.163632114,-0.482578887,0.746222316,-0.369617792
60,S125-LSh-o11,2,-0.902468577,0.898270567,-2.000709786,1.383256509,-0.42153535,-0.783376504,-0.958812567,-0.48521703,0.674877013,1.383581439,-0.041920009,0.328594001,-0.229705696,-0.701433302
61,S127-MS-o12,2,-1.16338805,-1.130300765,1.208395747,-1.243439093,-0.176099794,0.206055026,0.450193439,0.194593717,1.438393755,-1.075232131,1.175040026,-0.666973192,-0.735463357,-0.594512245
62,S132-BM-o13,2,-0.954278322,-0.549230032,0.632998567,-0.149695095,-0.372471892,0.459906876,0.304273635,0.17758092,-0.158623621,-0.190688728,0.353012036,0.575079091,0.331369157,0.16069587
63,S133-OT-o14,2,1.816121518,-0.545971191,2.098776288,-1.538879748,-0.56492184,-0.492578161,0.562431937,-0.27878587,1.476090141,-0.73105372,0.215861117,-0.262238494,-0.161342273,0.323440925
64,S134-LJ-o15,2,-1.050328769,0.630104328,0.192356029,0.420186052,0.288703744,-1.358808038,-1.187107558,-2.498362682,-0.327690443,0.382308275,0.670774792,-1.393565687,-0.554104684,1.391269186
65,S135-MG-o16,2,-1.527462472,0.78672696,-0.330941281,0.383467558,1.397774828,3.10999013,0.28993579821818183,0.15913953176363635,-0.801944241,-1.181234322,-0.067431296,-0.108981344,-0.360371723,-0.781526747
