,ID,Group,acc,GFP,N1,N2,P3b,Q_N1,Q_N2,Q_P3b,CD_N1,CD_N2,CD_P3b,PCE_N1,PCE_N2,PCE_P3b
50,S102-RCh-o01,2,0.365048272,0.245796965,0.666083652,-0.904443462,-0.132888707,-0.992245181,-0.528425014,0.433186589,0.94768966,-0.23677294,0.407619028,0.234157606,-0.529868192,-0.247014841
51,S106-LJ-o02,2,-0.259788295,-0.659019004,0.047689891,0.899824777,-0.008587449,0.400122451,0.033650066,-0.028891364,0.625497713,0.97465377,0.578695003,-0.790059688,0.64394878,0.183182377
52,S110-MK-o03,2,0.58992841,-0.635088267,-1.636880179,1.594199714,0.353270101,-0.776787555,0.165524489,-0.094063262,0.237469802,1.53737621,1.227092608,-1.146246709,-1.032590755,0.423371786
53,S111-ZK-o04,2,-0.615690382,-0.371907613,-0.054133283,0.772017115,1.174922255,-1.398367486,-3.317400574,-1.627176359,-0.325935896,-0.524058212,1.618254959,-0.417567711,1.176133852,2.022337784
54,S112-NK-o05,2,0.022478764,-0.491540328,0.028471917,0.671973662,0.511274123,0.003933518499999989,0.0794668077272727,0.27925289577777773,-0.862858219,0.98225562,0.690997751,-0.521426967,0.246955613,0.644253896
55,S113-NU-o06,2,-1.388944512,0.631550076,0.900653692,-1.560643805,0.151731449,-0.585212441,0.126113553,-0.408731848,1.38692242,0.299575856,-0.089779148,-0.062774114,-1.107198471,-1.408301862
56,S114-ZB-o07,2,-1.074805955,-0.379743683,-0.186152536,-0.387473644,0.156814805,-0.478008135,-0.620181232,0.093763677,-0.683590731,-1.052257863,-0.095672125,-1.738316019,-1.909216945,-1.44343942
57,S117-RL-o08,2,-0.68282345,0.097723191,0.542721607,-1.325182279,0.009355168,-0.098334102,-0.798784786,-2.284482852,0.505676565,-0.375883616,-0.512065995,-0.948528176,0.114986643,0.895897279
58,S121-ON-o09,2,-0.025886233,-0.182690259,-0.147631248,1.483326643,0.005057098,-0.402371413,-0.318801412,0.769468174,0.054890563,0.665787914,0.35896413,-0.333594026,-0.48132845,-1.469329483
59,S124-EA-o10,2,0.309339186,-1.239489055,-0.907170965,1.805372513,-1.045101797,0.099756588,-0.54159737,0.142048267,-0.735922953,1.757875121,0.280783874,-1.077855284,0.206236264,0.166361723
60,S125-LSh-o11,2,-0.947525314,-1.268268345,-0.682105722,1.246332362,-0.319064634,0.4375058,0.788100411,0.107182286,-0.576838326,1.103801806,0.103190298,0.685405352,0.042256493,-0.451980468
61,S127-MS-o12,2,-0.868020915,-1.165148697,-0.667728737,-0.381559953,-0.676120121,-0.481973919,0.190291054,0.442606255,-0.380266466,-1.285634739,0.35656458,0.201082106,-0.477792449,-0.410444689
62,S132-BM-o13,2,-0.616644538,-0.171129136,-0.028471917,0.986598852,-2.13785742,0.905221968,1.767939556,0.511584986,-0.367057649,0.603471653,0.295519125,1.277054582,-0.029775432,0.522893897
63,S133-OT-o14,2,0.425733127,0.121083195,0.237225949,0.245937453,-0.672879879,0.244885121,0.443374168,0.105079499,1.502751381,-0.028711752,1.399544105,-0.611276361,0.303551766,0.863656952
64,S134-LJ-o15,2,-1.145080853,-1.092041281,-0.564706263,-0.979003526,-0.973837337,-0.15573358,-2.490602872,-3.040379021,-0.740507258,-1.228210918,-1.410693864,-1.611352585,-0.775188679,0.665753061
65,S135-MG-o16,2,-0.544495341,0.48640645,0.186899954,1.523704016,-0.772944661,0.003933518499999989,0.0794668077272727,0.27925289577777773,-0.754855345,-0.674339174,-0.672858606,0.40212781,-0.553135622,-1.370767462
66,S136-TM-o17,2,-0.140807335,-0.326643571,-0.457359199,2.202949029,-1.028066692,-1.705291046,-0.513699465,-1.59725521,-0.89695088,1.378202248,1.192613378,-0.502097718,-0.179002446,1.110697356
67,S137-NL-o18,2,0.324912939,0.163251546,-0.494848582,0.31054164,0.974662007,0.003933518499999989,-0.064351708,-0.311549462,-1.05757248,-0.670253943,1.310610196,0.206880168,-0.745059139,-0.615167848
68,S138-IM-o19,2,-1.232743668,-1.313897109,-2.292376937,-0.133964331,-0.005057098,0.003933518499999989,-1.072260948,0.198039158,-1.367036142,-1.613923365,-0.407632081,0.388321192,-1.122517369,-2.282387143
69,S139-BG-o20,2,-1.394440005,-0.278362113,-0.16584987,-0.000874384,-0.577075962,0.003933518499999989,-0.901321868,-1.395401534,-0.321932344,0.34397811,-0.388536541,-0.079351637,0.082389226,0.481747356
