,ID,Group,acc,GFP,N1,N2,P3b,Q_N1,Q_N2,Q_P3b,CD_N1,CD_N2,CD_P3b,PCE_N1,PCE_N2,PCE_P3b
0,S100-MK-y01,1,-0.649055105,-0.620590316,0.316610085,-0.121242556,0.380927499,-0.233100604,0.043690699,-0.259075787,-0.442975183,-0.761487754,0.122175758,-1.63982917,-0.836154809,-0.612463334
1,S101-TK-y02,1,0.776193796,0.230918166,0.580090632,0.463315058,1.705246923,-0.150377486,-0.147426952,-0.48544827450000005,0.341330506,0.268855418,1.145895597,1.313129602,1.476037241,1.062762452
2,S103-RA-y03,1,0.601490181,-0.477684388,-1.119297203,1.207235205,0.736165155,2.087745985,1.498953208,-0.614851479,-0.200824846,-0.313477562,0.013926525,2.094158362,1.777744803,1.276626225
3,S104-TK-y04,1,0.596811953,0.081828959,0.296148322,-0.878270544,0.880421192,1.181472897,0.778162797,-0.358970716,-0.064595765,0.257185798,1.127241898,0.70365787,-0.280041511,-0.25293237
4,S105-NK-y05,1,0.309339186,-0.1893945,-1.808763066,1.24675691,0.34057084,-0.15082720653488377,-0.009312760866666686,0.114662967,-0.717925933,-0.530866825,-0.80103422,1.726039671,0.961228323,1.000475223
5,S107-EB-y06,1,-1.048487658,-1.110369573,-0.085253813,0.069844173,0.979469231,-1.269952414,-0.793490394,-1.107827166,-0.054890563,-0.601560008,0.99003567,0.280660923,0.434362292,-0.009220544
6,S108-MM-y07,1,0.863602273,1.42870765,1.832572061,-0.881885643,1.959536267,1.889321679,1.443495659,-0.511897185,1.068505494,0.850930037,1.029112539,0.378740806,0.302525549,0.218174693
7,S109-TK-y08,1,-0.140432157,-0.443526019,-0.612288991,-1.611030305,0.853544139,1.323514839,0.423676081,-0.710981841,-0.580706439,0.087187054,0.906387349,-0.413663258,-0.547622816,-0.065569033
8,S115-EA-y09,1,0.863602273,1.690638625,1.315164251,2.622233945,-0.214621304,-1.568777473,-2.325555514,-1.122782997,1.510934605,1.517971783,-1.064357704,1.296028947,1.325021398,0.844851647
9,S116-EB-y10,1,0.687295527,0.047583446,0.37181253,0.318007143,-0.542281507,0.100977009,-0.01307991,-0.507804768,0.471597545,-0.236569164,-1.162299376,0.105609881,0.651296212,0.631823401
